,SKU reference,Name,Material,Color,Diameter,Height,Finish,Shape,Weight,Clearance price,Technical drawing
177,PTXL28280B14XXMS,ms-sprayer-d28410-white-stem-280,Plastic,plastic-white,"28,00 mm","57,01 mm",,cylindrical,20 grs,0.16,
178,ZXCHD0063B15XXBE,screw-cap-hdpe-white-d63,Plastic,plastic-white,,"31,60 mm",,,20 grs,,
179,ZXCHD0063B12XXLL,screw-on-cap-hdpe-seal-white-approved-induction-d63,Plastic,plastic-white,,"32,30 mm",,,20 grs,,
180,PTXL28270BB2XXSP,spray-pp-white-sp05-d28,Plastic,plastic-white,,"56,30 mm",,,21 grs,,
181,ZNCHD0082B11XXBH,pressure-cap-seal-hdpe-white-d82,Plastic,plastic-white,,"24,80 mm",,,21 grs,,
182,PTXL28270NC2XXSP,vers-sprayer-d28410-naturalblue-stem-270,Plastic,plastic-blue,"28,00 mm","56,30 mm",,,22 grs,,
183,PTXL28270NB2XXSP,vers-sprayer-d28410-naturalwhite-stem-270,Plastic,plastic-white,"28,00 mm","56,30 mm",,,22 grs,,
184,ZRCHD0100G22XXNO,screw-cap-hdpe-black-d100,Plastic,plastic-black,,"26,00 mm",,,22 grs,,
185,ZXCHD0111B11XXPR,screw-cap-hdpe-seal-white-d111,Plastic,plastic-white,,"18,60 mm",,,22 grs,,
186,ZXCHD0061B11XXPK,screw-cap-hdpe-seal-white-d61,Plastic,plastic-white,,,,,22 grs,,
187,007074-558,cap-for-drum-din-50-red,Plastic,plastic-white,,"30,00 mm",,,24 grs,,
188,007074-559,cap-for-drum-din-61-red,Plastic,plastic-white,,"30,00 mm",,,24 grs,,
189,ZNCLD0200B13XXJO,pressure-cap-seal-pp-white-d200,Plastic,plastic-white,,"12,00 mm",,,25 grs,,
190,ZXCHD0061R12XXVL,screw-cap-hdpe-red-d61,Plastic,plastic-red,,"30,50 mm",,,25 grs,,
191,DOCL28000B13XXIN,dispenser-pp-white--d28,Plastic,plastic-white,,"48,20 mm",,,29 grs,,
192,007072-190,dosificador-de-miel-con-obturador-plano-to-66,PPCP,,,,,,30 grs,,
193,ZRCLD0120S21XXNO,d120-metallized-silver-induction-screw-cap,Metal,metal-silverish,"120,00 mm","26,00 mm",,cylindrical,30 grs,,
194,PTXL28270BB1XXCY,poseydon-sprayer-d28410-white-stem-270,Plastic,plastic-white,"28,00 mm","95,00 mm",,,31 grs,"0,335",
195,ZRCLG2002B11XXVL,2-tri-sure-white-screw-cap-with-34-yellow-valve,Plastic,plastic-white,"50,00 mm","26,50 mm",,cylindrical,32 grs,,
