,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape,Units per pasteurizer,Technical drawing
239,008081-558,288 ml,200 grs,Glass,"69,00 mm","99,00 mm",white,BG-Twist off,hexagonal,,⬇ 175
240,008082-289,290 ml,148 grs,Glass,"60,70 mm","111,60 mm",glass-white,Twist Off TO 58,faceted,52,
241,008082-407,290 ml,160 grs,Glass,"98,20 mm","61,20 mm",glass-white,Twist Off TO 82,cylindrical,,
242,008081-267,290 ml,200 grs,Glass,"78,90 / 69,10 mm","99,00 mm",glass-white,Twist Off TO 63,hexagonal,30,
243,008082-312,290 ml,220 grs,Glass,"73,00 mm","94,00 mm",glass-white,,cylindrical,,
244,002022-942,290 ml,273 grs,Glass,"60,00 mm","140,00 mm",glass-white,Weck 60 mm,cylindrical,,
245,008082-354,290 ml,280 grs,Glass,"80,00 mm","87,00 mm",glass-white,Weck 80 mm,cylindrical,,
246,008082-356,290 ml,331 grs,Glass,"108,00 mm","47,00 mm",glass-white,Weck 100 mm,square,,
247,008082-374,290 ml,338 grs,Glass,"100,00 mm","55,00 mm",glass-white,Weck 100 mm,cylindrical,,
248,008081-524,295 ml,150 grs,Glass,"71,40 mm","97,50 mm",white,Twist Off 66 Deep,cylindrical,,⬇ 18995
249,008082-402,300 ml,210 grs,Glass,,"198,00 mm",glass-white,Twist Off TO 38,conical,,
250,008082-365,300 ml,260 grs,Glass,"125,00 / 112,00 mm","48,00 mm",glass-white,Weck 120 mm,cylindrical,,
251,005055-18,300 ml,275 grs,Glass,"78,00 mm","92,00 mm",glass-white,,cylindrical,,
252,008082-1710,300 ml,860 grs,Glass,"95,00 mm","95,00 mm",glass-white,,complex,,
253,008082-27,312 ml,200 grs,Glass,"59,50 mm","205,55 mm",white,Twist Off TO 30,cylindrical,27,
254,008082-386,314 ml,138 grs,Glass,"67,90 mm","110,80 mm",white,BG-Twist off,cylindrical,,⬇ 54
255,008082-7,314 ml,165 grs,Glass,"67,00 mm","117,00 mm",white,Twist Off TO 63,cylindrical,42,
256,008082-73,314 ml,165 grs,Glass,"67,00 mm","131,00 mm",glass-white,Twist Off TO 63,cylindrical,42,
257,008081-656,314 ml,165 grs,Glass,"67,00 mm","131,00 mm",white,BG-Twist off,cylindrical,,⬇ 27274
258,008081-19,314 ml,165 grs,Glass,"85,80 mm","97,50 mm",glass-white,Twist Off TO 63,cylindrical,26,
259,008082-121,314 ml,185 grs,Glass,"75,00 mm","103,50 mm",glass-white,Twist Off TO 63,cylindrical,34,
260,008082-108,314 ml,185 grs,Glass,"75,00 mm","103,50 mm",glass-white,Twist Off TO 63 Tall,cylindrical,34,
261,008081-534,314 ml,195 grs,Glass,"72,20 mm","105,00 mm",white,BG-Twist off,square,,⬇ 16419
262,10487,314 ml,195 grs,Glass,"74,00 mm","106,00 mm",glass-white,Twist Off TO 70 Tall,cylindrical,,
263,008082-389,314 ml,200 grs,Glass,"85,00 mm","88,00 mm",glass-white,Twist Off TO 82,cylindrical,,
264,10243,314 ml,200 grs,Glass,"56,00 mm","92,00 mm",glass-white,Twist Off TO 63 Tall,square,,
265,008081-495,314 ml,200 grs,Glass,"73,80 mm","92,10 mm",white,Twist Off TO 70 Tall,square,,⬇ 27087
266,008081-563,314 ml,200 grs,Glass,"79,10 mm","101,50 mm",white,BG-Twist off,hexagonal,,⬇ 22593
267,008081-608,314 ml,200 grs,Glass,"60,20 mm","144,50 mm",white,BG-Twist off,cylindrical,,⬇ 16361
268,34308,314 ml,200 grs,Glass,"76,80 mm","98,50 mm",glass-white,Twist Off TO 63,cylindrical,,↓ 34308
269,008081-649,314 ml,200 grs,Glass,"68,00 mm","103,20 mm",white,Twist Off TO 63,square,,⬇ 26021
270,008081-469,314 ml,210 grs,Glass,"98,70 mm","79,00 mm",white,BG-Twist off,rectangular,,⬇ 15543
271,008081-602,314 ml,210 grs,Glass,"68,00 mm","113,30 mm",white,BG-Twist off,octogonal,,⬇ 11432
272,008081-647,314 ml,210 grs,Glass,"73,40 mm","99,20 mm",white,BG-Twist off,cylindrical,,⬇ 23583
273,008081-581,314 ml,235 grs,Glass,"80,00 mm","106,00 mm",white,BG-Twist off,oval,,⬇ 16537
274,008081-451,314 ml,240 grs,Glass,"81,20 mm","131,50 mm",white,BG-Twist off,cylindrical,,⬇ 14287
275,008081-641,314 ml,240 grs,Glass,"73,50 mm","94,00 mm",white,BG-Twist off,square,,⬇ 18356
276,008081-586,314 ml,245 grs,Glass,"96,00 mm","104,50 mm",white,BG-Twist off,oval,,⬇ 16538
